<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GDAX.BTC-USD;D;20200620;000000;9300.4200000;9391.7100000;9161.0000000;9355.7400000;6888
GDAX.BTC-USD;D;20200621;000000;9355.7400000;9419.3500000;9273.0000000;9286.1400000;3055
GDAX.BTC-USD;D;20200622;000000;9286.1400000;9792.0000000;9267.5800000;9690.7400000;11746
GDAX.BTC-USD;D;20200623;000000;9690.6700000;9724.5300000;9572.2200000;9623.5600000;7957
GDAX.BTC-USD;D;20200624;000000;9623.5600000;9663.3800000;9195.0000000;9285.9100000;13390
GDAX.BTC-USD;D;20200625;000000;9285.9400000;9335.0000000;8979.0700000;9243.5100000;13527
GDAX.BTC-USD;D;20200626;000000;9242.9800000;9291.7300000;9027.6200000;9155.4200000;10701
GDAX.BTC-USD;D;20200627;000000;9155.4200000;9188.1400000;8815.0100000;9002.4600000;8386
GDAX.BTC-USD;D;20200628;000000;9002.3800000;9189.0000000;8931.7700000;9113.2400000;5538
GDAX.BTC-USD;D;20200629;000000;9113.2300000;9236.7500000;9014.0000000;9184.4500000;8642
GDAX.BTC-USD;D;20200630;000000;9188.7900000;9201.0000000;9059.6000000;9136.2000000;6807
GDAX.BTC-USD;D;20200701;000000;9135.9100000;9297.2000000;9088.0000000;9239.9700000;7546
GDAX.BTC-USD;D;20200702;000000;9239.4100000;9265.0000000;8938.0000000;9091.5300000;10770
GDAX.BTC-USD;D;20200703;000000;9091.9800000;9126.1200000;9036.7400000;9063.8700000;7746
GDAX.BTC-USD;D;20200704;000000;9059.7300000;9195.8400000;9039.8400000;9138.5100000;5287
GDAX.BTC-USD;D;20200705;000000;9138.5100000;9145.0000000;8905.8400000;9074.3900000;4562
GDAX.BTC-USD;D;20200706;000000;9074.3700000;9375.9000000;9061.5900000;9343.3100000;9937
GDAX.BTC-USD;D;20200707;000000;9343.3100000;9379.3400000;9201.5700000;9253.9400000;6319
GDAX.BTC-USD;D;20200708;000000;9253.9400000;9475.0000000;9232.2000000;9435.2800000;10134
GDAX.BTC-USD;D;20200709;000000;9435.2800000;9446.6200000;9154.7900000;9236.9500000;8453
GDAX.BTC-USD;D;20200710;000000;9236.9500000;9322.2300000;9118.0000000;9291.0500000;6886
GDAX.BTC-USD;D;20200711;000000;9291.0400000;9303.0400000;9182.3500000;9235.0000000;3356
GDAX.BTC-USD;D;20200712;000000;9235.0000000;9347.5300000;9159.3300000;9303.3700000;5370
GDAX.BTC-USD;D;20200713;000000;9303.3800000;9339.6100000;9193.5200000;9236.9200000;8705
GDAX.BTC-USD;D;20200714;000000;9236.9100000;9280.0000000;9100.0000000;9256.9400000;7472
GDAX.BTC-USD;D;20200715;000000;9256.9400000;9273.9800000;9154.0100000;9190.1600000;7206
GDAX.BTC-USD;D;20200716;000000;9190.8000000;9216.0200000;9005.0000000;9130.1100000;8770
GDAX.BTC-USD;D;20200717;000000;9130.9300000;9182.9900000;9054.9900000;9154.2900000;6410
GDAX.BTC-USD;D;20200718;000000;9154.2900000;9210.0000000;9122.6500000;9175.8500000;4105
GDAX.BTC-USD;D;20200719;000000;9175.8300000;9245.0300000;9105.3700000;9212.8700000;3501
GDAX.BTC-USD;D;20200720;000000;9214.0100000;9223.5100000;9131.0000000;9161.0500000;5812
GDAX.BTC-USD;D;20200721;000000;9161.0500000;9438.0000000;9157.0400000;9394.1400000;9616
GDAX.BTC-USD;D;20200722;000000;9394.1400000;9567.7700000;9277.0000000;9536.1800000;10349
GDAX.BTC-USD;D;20200723;000000;9536.2000000;9686.0000000;9450.0400000;9613.2400000;12999
GDAX.BTC-USD;D;20200724;000000;9613.2400000;9645.5500000;9475.7000000;9551.2100000;9790
GDAX.BTC-USD;D;20200725;000000;9551.2100000;9747.7600000;9536.6400000;9711.3300000;6963
GDAX.BTC-USD;D;20200726;000000;9711.7900000;10150.0000000;9661.3500000;9941.0000000;11626
GDAX.BTC-USD;D;20200727;000000;9941.0000000;11420.0000000;9935.0000000;11048.9100000;41853
GDAX.BTC-USD;D;20200728;000000;11048.0500000;11259.0000000;10575.0000000;10934.2300000;26007
GDAX.BTC-USD;D;20200729;000000;10934.2200000;11350.0000000;10843.4700000;11110.1200000;18558
GDAX.BTC-USD;D;20200730;000000;11108.1600000;11188.6500000;10811.0000000;11115.9500000;12412
GDAX.BTC-USD;D;20200731;000000;11115.9900000;11460.0000000;10975.0000000;11351.6200000;15754
GDAX.BTC-USD;D;20200801;000000;11351.6100000;11888.0000000;11237.8200000;11810.0700000;18289
GDAX.BTC-USD;D;20200802;000000;11810.0700000;12134.2900000;10546.1500000;11068.5400000;28117
GDAX.BTC-USD;D;20200803;000000;11067.4600000;11486.6000000;10911.7400000;11233.1300000;13764
GDAX.BTC-USD;D;20200804;000000;11233.1600000;11417.1100000;11006.1600000;11197.0400000;12082
GDAX.BTC-USD;D;20200805;000000;11197.0500000;11798.8700000;11073.7000000;11756.7500000;16652
GDAX.BTC-USD;D;20200806;000000;11756.7500000;11916.6800000;11580.1900000;11773.8900000;18054
GDAX.BTC-USD;D;20200807;000000;11773.8900000;11920.0000000;11350.0000000;11606.5200000;23743
GDAX.BTC-USD;D;20200808;000000;11606.5200000;11818.1800000;11529.4500000;11774.9800000;7319
GDAX.BTC-USD;D;20200809;000000;11773.2400000;11810.2400000;11532.0400000;11688.4800000;7591
GDAX.BTC-USD;D;20200810;000000;11688.2500000;12086.2200000;11470.0100000;11899.7300000;22152
GDAX.BTC-USD;D;20200811;000000;11899.8700000;11943.0000000;11120.0000000;11388.5300000;20698
GDAX.BTC-USD;D;20200812;000000;11388.8800000;11625.0000000;11148.5400000;11566.4500000;12834
GDAX.BTC-USD;D;20200813;000000;11566.4400000;11802.0900000;11274.1400000;11795.9500000;15372
GDAX.BTC-USD;D;20200814;000000;11795.9500000;11865.9700000;11651.2400000;11779.0000000;13796
GDAX.BTC-USD;D;20200815;000000;11777.5000000;11989.9800000;11688.0000000;11859.2400000;12590
GDAX.BTC-USD;D;20200816;000000;11860.0200000;11940.0000000;11686.5300000;11918.8400000;8901
GDAX.BTC-USD;D;20200817;000000;11918.8400000;12486.6100000;11775.0000000;12304.2600000;23813
GDAX.BTC-USD;D;20200818;000000;12303.9800000;12400.0000000;11825.0000000;11950.0000000;18639
GDAX.BTC-USD;D;20200819;000000;11954.2200000;12024.8300000;11569.0000000;11758.8700000;16653
GDAX.BTC-USD;D;20200820;000000;11758.8700000;11892.1600000;11671.4800000;11864.2600000;8813
GDAX.BTC-USD;D;20200821;000000;11864.2600000;11884.9900000;11480.0000000;11529.2200000;14854
GDAX.BTC-USD;D;20200822;000000;11529.9900000;11693.1600000;11370.0000000;11672.9300000;7946
GDAX.BTC-USD;D;20200823;000000;11672.9200000;11715.0000000;11525.6200000;11650.0100000;5511
GDAX.BTC-USD;D;20200824;000000;11650.0100000;11823.6200000;11592.9100000;11753.8500000;7243
